Statistic Label,Year,Fuel Type,County of Ownership,Type of Vehicle,Year of Registration,UNIT,VALUE
Vehicle Population,2018,Diesel,Co. Waterford,Goods vehicles,All years,Number,8132
Vehicle Population,2018,Diesel,Co. Waterford,Motor cycles,All years,Number,0
Vehicle Population,2018,Diesel,Co. Waterford,Tractors & Machinery,All years,Number,2455
Vehicle Population,2018,Diesel,Co. Waterford,Small PSVs,All years,Number,263
Vehicle Population,2018,Diesel,Co. Waterford,Large PSVs,All years,Number,178
Vehicle Population,2018,Diesel,Co. Waterford,Exempt vehicles,All years,Number,476
Vehicle Population,2018,Diesel,Co. Waterford,Other vehicles,All years,Number,1162
Vehicle Population,2018,Diesel,Co. Galway,Private cars,All years,Number,66337
Vehicle Population,2018,Diesel,Co. Galway,Goods vehicles,All years,Number,20314
Vehicle Population,2018,Diesel,Co. Galway,Motor cycles,All years,Number,0
Vehicle Population,2018,Diesel,Co. Galway,Tractors & Machinery,All years,Number,5516
Vehicle Population,2018,Diesel,Co. Galway,Small PSVs,All years,Number,823
Vehicle Population,2018,Diesel,Co. Galway,Large PSVs,All years,Number,595
Vehicle Population,2018,Diesel,Co. Galway,Exempt vehicles,All years,Number,1524
Vehicle Population,2018,Diesel,Co. Galway,Other vehicles,All years,Number,4129
Vehicle Population,2018,Diesel,Co. Leitrim,Private cars,All years,Number,9454
Vehicle Population,2018,Diesel,Co. Leitrim,Goods vehicles,All years,Number,3401
Vehicle Population,2018,Diesel,Co. Leitrim,Motor cycles,All years,Number,0
Vehicle Population,2018,Diesel,Co. Leitrim,Tractors & Machinery,All years,Number,1006
Vehicle Population,2018,Diesel,Co. Leitrim,Small PSVs,All years,Number,65
Vehicle Population,2018,Diesel,Co. Leitrim,Large PSVs,All years,Number,98
Vehicle Population,2018,Diesel,Co. Leitrim,Exempt vehicles,All years,Number,198
Vehicle Population,2018,Diesel,Co. Leitrim,Other vehicles,All years,Number,767
Vehicle Population,2018,Diesel,Co. Mayo,Private cars,All years,Number,37994
Vehicle Population,2018,Diesel,Co. Mayo,Goods vehicles,All years,Number,13343
Vehicle Population,2018,Diesel,Co. Mayo,Motor cycles,All years,Number,1
Vehicle Population,2018,Diesel,Co. Mayo,Tractors & Machinery,All years,Number,5000
Vehicle Population,2018,Diesel,Co. Mayo,Small PSVs,All years,Number,271
Vehicle Population,2018,Diesel,Co. Mayo,Large PSVs,All years,Number,341
Vehicle Population,2018,Diesel,Co. Mayo,Exempt vehicles,All years,Number,889
Vehicle Population,2018,Diesel,Co. Mayo,Other vehicles,All years,Number,2030
Vehicle Population,2018,Diesel,Co. Roscommon,Private cars,All years,Number,20248
Vehicle Population,2018,Diesel,Co. Roscommon,Goods vehicles,All years,Number,6369
Vehicle Population,2018,Diesel,Co. Roscommon,Motor cycles,All years,Number,2
Vehicle Population,2018,Diesel,Co. Roscommon,Tractors & Machinery,All years,Number,2507
Vehicle Population,2018,Diesel,Co. Roscommon,Small PSVs,All years,Number,128
Vehicle Population,2018,Diesel,Co. Roscommon,Large PSVs,All years,Number,126
Vehicle Population,2018,Diesel,Co. Roscommon,Exempt vehicles,All years,Number,360
Vehicle Population,2018,Diesel,Co. Roscommon,Other vehicles,All years,Number,1537
Vehicle Population,2018,Diesel,Co. Sligo,Private cars,All years,Number,16993
Vehicle Population,2018,Diesel,Co. Sligo,Goods vehicles,All years,Number,6037
Vehicle Population,2018,Diesel,Co. Sligo,Motor cycles,All years,Number,1
Vehicle Population,2018,Diesel,Co. Sligo,Tractors & Machinery,All years,Number,1666
Vehicle Population,2018,Diesel,Co. Sligo,Small PSVs,All years,Number,155
Vehicle Population,2018,Diesel,Co. Sligo,Large PSVs,All years,Number,119
Vehicle Population,2018,Diesel,Co. Sligo,Exempt vehicles,All years,Number,353
Vehicle Population,2018,Diesel,Co. Sligo,Other vehicles,All years,Number,1198
Vehicle Population,2018,Diesel,Co. Cavan,Private cars,All years,Number,20889
Vehicle Population,2018,Diesel,Co. Cavan,Goods vehicles,All years,Number,8043
Vehicle Population,2018,Diesel,Co. Cavan,Motor cycles,All years,Number,1
Vehicle Population,2018,Diesel,Co. Cavan,Tractors & Machinery,All years,Number,2754
Vehicle Population,2018,Diesel,Co. Cavan,Small PSVs,All years,Number,158
Vehicle Population,2018,Diesel,Co. Cavan,Large PSVs,All years,Number,194
Vehicle Population,2018,Diesel,Co. Cavan,Exempt vehicles,All years,Number,323
Vehicle Population,2018,Diesel,Co. Cavan,Other vehicles,All years,Number,1117
Vehicle Population,2018,Diesel,Co. Donegal,Private cars,All years,Number,41125
Vehicle Population,2018,Diesel,Co. Donegal,Goods vehicles,All years,Number,14606
Vehicle Population,2018,Diesel,Co. Donegal,Motor cycles,All years,Number,2
Vehicle Population,2018,Diesel,Co. Donegal,Tractors & Machinery,All years,Number,3371
Vehicle Population,2018,Diesel,Co. Donegal,Small PSVs,All years,Number,348
Vehicle Population,2018,Diesel,Co. Donegal,Large PSVs,All years,Number,622
Vehicle Population,2018,Diesel,Co. Donegal,Exempt vehicles,All years,Number,738
Vehicle Population,2018,Diesel,Co. Donegal,Other vehicles,All years,Number,3323
Vehicle Population,2018,Diesel,Co. Monaghan,Private cars,All years,Number,17636
Vehicle Population,2018,Diesel,Co. Monaghan,Goods vehicles,All years,Number,7957
Vehicle Population,2018,Diesel,Co. Monaghan,Motor cycles,All years,Number,1
Vehicle Population,2018,Diesel,Co. Monaghan,Tractors & Machinery,All years,Number,1887
Vehicle Population,2018,Diesel,Co. Monaghan,Small PSVs,All years,Number,75
Vehicle Population,2018,Diesel,Co. Monaghan,Large PSVs,All years,Number,221
Vehicle Population,2018,Diesel,Co. Monaghan,Exempt vehicles,All years,Number,242
Vehicle Population,2018,Diesel,Co. Monaghan,Other vehicles,All years,Number,870
Vehicle Population,2018,Other fuel types,Co. Carlow,Private cars,All years,Number,330
Vehicle Population,2018,Other fuel types,Co. Carlow,Goods vehicles,All years,Number,1
Vehicle Population,2018,Other fuel types,Co. Carlow,Motor cycles,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Carlow,Tractors & Machinery,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Carlow,Small PSVs,All years,Number,4
Vehicle Population,2018,Other fuel types,Co. Carlow,Large PSVs,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Carlow,Exempt vehicles,All years,Number,2
Vehicle Population,2018,Other fuel types,Co. Carlow,Other vehicles,All years,Number,5
Vehicle Population,2018,Other fuel types,Co. Dublin,Private cars,All years,Number,17421
Vehicle Population,2018,Other fuel types,Co. Dublin,Goods vehicles,All years,Number,100
Vehicle Population,2018,Other fuel types,Co. Dublin,Motor cycles,All years,Number,26
Vehicle Population,2018,Other fuel types,Co. Dublin,Tractors & Machinery,All years,Number,15
Vehicle Population,2018,Other fuel types,Co. Dublin,Small PSVs,All years,Number,1055
Vehicle Population,2018,Other fuel types,Co. Dublin,Large PSVs,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Dublin,Exempt vehicles,All years,Number,180
Vehicle Population,2018,Other fuel types,Co. Dublin,Other vehicles,All years,Number,17
Vehicle Population,2018,Other fuel types,Co. Kildare,Private cars,All years,Number,2161
Vehicle Population,2018,Other fuel types,Co. Kildare,Goods vehicles,All years,Number,7
Vehicle Population,2018,Other fuel types,Co. Kildare,Motor cycles,All years,Number,4
Vehicle Population,2018,Other fuel types,Co. Kildare,Tractors & Machinery,All years,Number,2
Vehicle Population,2018,Other fuel types,Co. Kildare,Small PSVs,All years,Number,37
Vehicle Population,2018,Other fuel types,Co. Kildare,Large PSVs,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Kildare,Exempt vehicles,All years,Number,10
Vehicle Population,2018,Other fuel types,Co. Kildare,Other vehicles,All years,Number,3
Vehicle Population,2018,Other fuel types,Co. Kilkenny,Private cars,All years,Number,530
Vehicle Population,2018,Other fuel types,Co. Kilkenny,Goods vehicles,All years,Number,3
Vehicle Population,2018,Other fuel types,Co. Kilkenny,Motor cycles,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Kilkenny,Tractors & Machinery,All years,Number,3
Vehicle Population,2018,Other fuel types,Co. Kilkenny,Small PSVs,All years,Number,1
Vehicle Population,2018,Other fuel types,Co. Kilkenny,Large PSVs,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Kilkenny,Exempt vehicles,All years,Number,10
Vehicle Population,2018,Other fuel types,Co. Kilkenny,Other vehicles,All years,Number,5
Vehicle Population,2018,Other fuel types,Co. Laois,Private cars,All years,Number,431
Vehicle Population,2018,Other fuel types,Co. Laois,Goods vehicles,All years,Number,4
Vehicle Population,2018,Other fuel types,Co. Laois,Motor cycles,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Laois,Tractors & Machinery,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Laois,Small PSVs,All years,Number,16
Vehicle Population,2018,Other fuel types,Co. Laois,Large PSVs,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Laois,Exempt vehicles,All years,Number,3
Vehicle Population,2018,Other fuel types,Co. Laois,Other vehicles,All years,Number,7
Vehicle Population,2018,Other fuel types,Co. Longford,Private cars,All years,Number,223
Vehicle Population,2018,Other fuel types,Co. Longford,Goods vehicles,All years,Number,3
Vehicle Population,2018,Other fuel types,Co. Longford,Motor cycles,All years,Number,1
Vehicle Population,2018,Other fuel types,Co. Longford,Tractors & Machinery,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Longford,Small PSVs,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Longford,Large PSVs,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Longford,Exempt vehicles,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Longford,Other vehicles,All years,Number,3
Vehicle Population,2018,Other fuel types,Co. Louth,Private cars,All years,Number,858
Vehicle Population,2018,Other fuel types,Co. Louth,Goods vehicles,All years,Number,4
Vehicle Population,2018,Other fuel types,Co. Louth,Motor cycles,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Louth,Tractors & Machinery,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Louth,Small PSVs,All years,Number,25
Vehicle Population,2018,Other fuel types,Co. Louth,Large PSVs,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Louth,Exempt vehicles,All years,Number,10
Vehicle Population,2018,Other fuel types,Co. Louth,Other vehicles,All years,Number,1
Vehicle Population,2018,Other fuel types,Co. Meath,Private cars,All years,Number,1720
Vehicle Population,2018,Other fuel types,Co. Meath,Goods vehicles,All years,Number,2
Vehicle Population,2018,Other fuel types,Co. Meath,Motor cycles,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Meath,Tractors & Machinery,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Meath,Small PSVs,All years,Number,50
Vehicle Population,2018,Other fuel types,Co. Meath,Large PSVs,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Meath,Exempt vehicles,All years,Number,14
Vehicle Population,2018,Other fuel types,Co. Meath,Other vehicles,All years,Number,2
Vehicle Population,2018,Other fuel types,Co. Offaly,Private cars,All years,Number,448
Vehicle Population,2018,Other fuel types,Co. Offaly,Goods vehicles,All years,Number,3
Vehicle Population,2018,Other fuel types,Co. Offaly,Motor cycles,All years,Number,1
Vehicle Population,2018,Other fuel types,Co. Offaly,Tractors & Machinery,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Offaly,Small PSVs,All years,Number,3
Vehicle Population,2018,Other fuel types,Co. Offaly,Large PSVs,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Offaly,Exempt vehicles,All years,Number,5
Vehicle Population,2018,Other fuel types,Co. Offaly,Other vehicles,All years,Number,3
Vehicle Population,2018,Other fuel types,Co. Westmeath,Private cars,All years,Number,723
Vehicle Population,2018,Other fuel types,Co. Westmeath,Goods vehicles,All years,Number,5
Vehicle Population,2018,Other fuel types,Co. Westmeath,Motor cycles,All years,Number,1
Vehicle Population,2018,Other fuel types,Co. Westmeath,Tractors & Machinery,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Westmeath,Small PSVs,All years,Number,6
Vehicle Population,2018,Other fuel types,Co. Westmeath,Large PSVs,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Westmeath,Exempt vehicles,All years,Number,8
Vehicle Population,2018,Other fuel types,Co. Westmeath,Other vehicles,All years,Number,1
Vehicle Population,2018,Other fuel types,Co. Wexford,Private cars,All years,Number,978
Vehicle Population,2018,Other fuel types,Co. Wexford,Goods vehicles,All years,Number,8
Vehicle Population,2018,Other fuel types,Co. Wexford,Motor cycles,All years,Number,3
Vehicle Population,2018,Other fuel types,Co. Wexford,Tractors & Machinery,All years,Number,5
Vehicle Population,2018,Other fuel types,Co. Wexford,Small PSVs,All years,Number,4
Vehicle Population,2018,Other fuel types,Co. Wexford,Large PSVs,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Wexford,Exempt vehicles,All years,Number,9
Vehicle Population,2018,Other fuel types,Co. Wexford,Other vehicles,All years,Number,7
Vehicle Population,2018,Other fuel types,Co. Wicklow,Private cars,All years,Number,1574
Vehicle Population,2018,Other fuel types,Co. Wicklow,Goods vehicles,All years,Number,10
Vehicle Population,2018,Other fuel types,Co. Wicklow,Motor cycles,All years,Number,4
Vehicle Population,2018,Other fuel types,Co. Wicklow,Tractors & Machinery,All years,Number,1
Vehicle Population,2018,Other fuel types,Co. Wicklow,Small PSVs,All years,Number,14
Vehicle Population,2018,Other fuel types,Co. Wicklow,Large PSVs,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Wicklow,Exempt vehicles,All years,Number,18
Vehicle Population,2018,Other fuel types,Co. Wicklow,Other vehicles,All years,Number,5
Vehicle Population,2018,Other fuel types,Co. Clare,Private cars,All years,Number,787
Vehicle Population,2018,Other fuel types,Co. Clare,Goods vehicles,All years,Number,4
Vehicle Population,2018,Other fuel types,Co. Clare,Motor cycles,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Clare,Tractors & Machinery,All years,Number,2
Vehicle Population,2018,Other fuel types,Co. Clare,Small PSVs,All years,Number,7
Vehicle Population,2018,Other fuel types,Co. Clare,Large PSVs,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Clare,Exempt vehicles,All years,Number,11
Vehicle Population,2018,Other fuel types,Co. Clare,Other vehicles,All years,Number,3
Vehicle Population,2018,Other fuel types,Co. Cork,Private cars,All years,Number,4409
Vehicle Population,2018,Other fuel types,Co. Cork,Goods vehicles,All years,Number,28
Vehicle Population,2018,Other fuel types,Co. Cork,Motor cycles,All years,Number,5
Vehicle Population,2018,Other fuel types,Co. Cork,Tractors & Machinery,All years,Number,3
Vehicle Population,2018,Other fuel types,Co. Cork,Small PSVs,All years,Number,49
Vehicle Population,2018,Other fuel types,Co. Cork,Large PSVs,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Cork,Exempt vehicles,All years,Number,67
Vehicle Population,2018,Other fuel types,Co. Cork,Other vehicles,All years,Number,10
Vehicle Population,2018,Other fuel types,Co. Kerry,Private cars,All years,Number,924
Vehicle Population,2018,Other fuel types,Co. Kerry,Goods vehicles,All years,Number,2
Vehicle Population,2018,Other fuel types,Co. Kerry,Motor cycles,All years,Number,1
Vehicle Population,2018,Other fuel types,Co. Kerry,Tractors & Machinery,All years,Number,4
Vehicle Population,2018,Other fuel types,Co. Kerry,Small PSVs,All years,Number,4
Vehicle Population,2018,Other fuel types,Co. Kerry,Large PSVs,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Kerry,Exempt vehicles,All years,Number,13
Vehicle Population,2018,Other fuel types,Co. Kerry,Other vehicles,All years,Number,7
Vehicle Population,2018,Other fuel types,Co. Limerick,Private cars,All years,Number,1182
Vehicle Population,2018,Other fuel types,Co. Limerick,Goods vehicles,All years,Number,4
Vehicle Population,2018,Other fuel types,Co. Limerick,Motor cycles,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Limerick,Tractors & Machinery,All years,Number,4
Vehicle Population,2018,Other fuel types,Co. Limerick,Small PSVs,All years,Number,41
Vehicle Population,2018,Other fuel types,Co. Limerick,Large PSVs,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Limerick,Exempt vehicles,All years,Number,41
Vehicle Population,2018,Other fuel types,Co. Limerick,Other vehicles,All years,Number,5
Vehicle Population,2018,Other fuel types,Co. Tipperary,Private cars,All years,Number,823
Vehicle Population,2018,Other fuel types,Co. Tipperary,Goods vehicles,All years,Number,6
Vehicle Population,2018,Other fuel types,Co. Tipperary,Motor cycles,All years,Number,1
Vehicle Population,2018,Other fuel types,Co. Tipperary,Tractors & Machinery,All years,Number,1
Vehicle Population,2018,Other fuel types,Co. Tipperary,Small PSVs,All years,Number,3
Vehicle Population,2018,Other fuel types,Co. Tipperary,Large PSVs,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Tipperary,Exempt vehicles,All years,Number,18
Vehicle Population,2018,Other fuel types,Co. Tipperary,Other vehicles,All years,Number,5
Vehicle Population,2018,Other fuel types,Co. Waterford,Private cars,All years,Number,763
Vehicle Population,2018,Other fuel types,Co. Waterford,Goods vehicles,All years,Number,4
Vehicle Population,2018,Other fuel types,Co. Waterford,Motor cycles,All years,Number,2
Vehicle Population,2018,Other fuel types,Co. Waterford,Tractors & Machinery,All years,Number,3
Vehicle Population,2018,Other fuel types,Co. Waterford,Small PSVs,All years,Number,1
Vehicle Population,2018,Other fuel types,Co. Waterford,Large PSVs,All years,Number,0
Vehicle Population,2018,Other fuel types,Co. Waterford,Exempt vehicles,All years,Number,5
Vehicle Population,2018,Other fuel types,Co. Waterford,Other vehicles,All years,Number,4
Vehicle Population,2018,Other fuel types,Co. Galway,Private cars,All years,Number,2134
