STATISTIC Label,Year,Age Group,Sex,UNIT,VALUE
Population Estimates (Persons in April),2024,45 - 64 years,Male,Thousand,678.1
Population Estimates (Persons in April),2024,45 - 64 years,Female,Thousand,698.1
Population Estimates (Persons in April),2024,50 - 54 years,Male,Thousand,180.9
Population Estimates (Persons in April),2024,50 - 54 years,Female,Thousand,184.2
Population Estimates (Persons in April),2024,55 - 59 years,Male,Thousand,159.4
Population Estimates (Persons in April),2024,55 - 59 years,Female,Thousand,163
Population Estimates (Persons in April),2024,60 - 64 years,Male,Thousand,144.6
Population Estimates (Persons in April),2024,60 - 64 years,Female,Thousand,150.6
Population Estimates (Persons in April),2024,65 - 69 years,Male,Thousand,123.2
Population Estimates (Persons in April),2024,65 - 69 years,Female,Thousand,128.2
Population Estimates (Persons in April),2024,65 years and over,Male,Thousand,393.1
Population Estimates (Persons in April),2024,65 years and over,Female,Thousand,440.1
Population Estimates (Persons in April),2024,70 - 74 years,Male,Thousand,104.6
Population Estimates (Persons in April),2024,70 - 74 years,Female,Thousand,110
Population Estimates (Persons in April),2024,75 - 79 years,Male,Thousand,81.1
Population Estimates (Persons in April),2024,75 - 79 years,Female,Thousand,88
Population Estimates (Persons in April),2024,80 - 84 years,Male,Thousand,48.8
Population Estimates (Persons in April),2024,80 - 84 years,Female,Thousand,58.1
Population Estimates (Persons in April),2024,85 years and over,Male,Thousand,35.4
Population Estimates (Persons in April),2024,85 years and over,Female,Thousand,55.8
Population Estimates (Persons in April),2025,Under 1 year,Male,Thousand,28.4
Population Estimates (Persons in April),2025,Under 1 year,Female,Thousand,26.7
Population Estimates (Persons in April),2025,0 - 4 years,Male,Thousand,147.1
Population Estimates (Persons in April),2025,0 - 4 years,Female,Thousand,142.9
Population Estimates (Persons in April),2025,0 - 14 years,Male,Thousand,509.5
Population Estimates (Persons in April),2025,0 - 14 years,Female,Thousand,490.6
Population Estimates (Persons in April),2025,1 - 4 years,Male,Thousand,118.7
Population Estimates (Persons in April),2025,1 - 4 years,Female,Thousand,116.2
Population Estimates (Persons in April),2025,5 - 9 years,Male,Thousand,168.2
Population Estimates (Persons in April),2025,5 - 9 years,Female,Thousand,161.9
Population Estimates (Persons in April),2025,10 - 14 years,Male,Thousand,194.2
Population Estimates (Persons in April),2025,10 - 14 years,Female,Thousand,185.8
